HandPose,D1-2,D2-3,D3-4,D4-5,Up1,Up2,Up3,Up4,Up5
Vulcan,117.14966809435539,26.08165340833818,58.41782127955702,30.048638135259075,true,true,true,true,true
Vulcan,120.00800040750627,25.514210086873476,52.829822754415,28.33371018857494,true,true,true,true,true
Vulcan,115.62735122382297,16.725410101646165,53.56498764769726,26.332851069359766,true,true,true,true,true
Vulcan,120.91022023385453,23.04031011144969,50.16819321729479,33.82161087890051,true,true,true,true,true
Vulcan,119.29284687357634,25.122483646565406,49.10229806559682,34.80442576906388,true,true,true,true,true
Vulcan,123.48742013095965,21.5531533929386,59.680905878333775,30.626994399498358,true,true,true,true,true
Vulcan,124.68655734757071,27.562807466442134,53.77025666478556,35.03609068058633,true,true,true,true,true
Vulcan,120.44985421909784,25.736169544755604,55.08676162554848,36.3337069198314,true,true,true,true,true
Vulcan,123.74374697472241,26.195676114429133,55.45798423546934,35.20422491728188,true,true,true,true,true
Vulcan,123.53174694317767,27.28790056944114,51.74554846479158,35.03654874799714,true,true,true,true,true
Vulcan,125.95348480614011,25.887399169574557,52.09526467505592,35.201185414736315,true,true,true,true,true
Vulcan,119.54985369517274,27.99299048980155,52.08515679417657,36.061031025061354,true,true,true,true,true
Vulcan,122.99011066876787,29.205476586232088,51.56946248585717,36.328133545882885,true,true,true,true,true
Vulcan,126.9723246485113,28.272138390105173,50.49272176649441,36.16938472512615,true,true,true,true,true
Vulcan,125.4331604476489,27.066159490942223,53.530584459364675,36.512771187542334,true,true,true,true,true
Vulcan,123.65309976025755,27.00677084956819,52.654868802004025,35.36659922740031,true,true,true,true,true
Vulcan,124.30168124779343,31.81720367831748,51.63493732245922,36.966049884872255,true,true,true,true,true
Vulcan,125.04705348498027,30.69668664540491,51.00574731761829,38.284074156933386,true,true,true,true,true
Vulcan,126.49918725319857,27.219451847705447,53.778869791363455,35.636751682974335,true,true,true,true,true
Vulcan,127.0805445684595,27.21057149913944,53.83476947217076,35.056951179871824,true,true,true,true,true
Vulcan,122.62425054070586,26.060688890617094,52.19422432066119,35.69292833819505,true,true,true,true,true
Vulcan,123.82261980523424,28.055157084185392,51.589134293965735,37.360216055423365,true,true,true,true,true
Vulcan,123.98429877392527,28.522701647600993,51.45568631881348,35.61842248975694,true,true,true,true,true
Vulcan,125.48521726194375,27.718612909459708,52.76867544356893,35.43753975834401,true,true,true,true,true
Vulcan,124.96246885785644,27.74839537210934,52.872745557960904,35.872085269089254,true,true,true,true,true
Vulcan,125.79734965567796,30.43676565376683,50.818114240590205,35.07416736783129,true,true,true,true,true
Vulcan,124.22118600418636,29.985439407024085,49.713890324052194,36.18925325915506,true,true,true,true,true
Vulcan,124.08193691752092,27.306984220590437,50.96007288812715,35.44085170408381,true,true,true,true,true
Vulcan,125.0226941566206,27.225783033904737,53.1061642677913,35.40497827533814,true,true,true,true,true
Vulcan,123.9178962364739,29.689265345471355,49.44084598711159,37.84722065784772,true,true,true,true,true
Vulcan,122.0974588576597,31.305270350266465,49.34992683623071,35.3987510032816,true,true,true,true,true
Vulcan,122.23050744958839,27.16616411767438,51.04301481507507,35.5207525019615,true,true,true,true,true
Vulcan,119.43213692568862,29.583517695916026,49.93120702051583,36.64856129775266,true,true,true,true,true
