HandPose,D1-2,D2-3,D3-4,D4-5,Up1,Up2,Up3,Up4,Up5
CrossFingers,126.2751965067337,21.391612483314738,136.14454334116402,17.284015046092016,true,true,true,false,false
CrossFingers,128.57834518399784,32.054034696340715,136.3360085270162,12.812644295106416,true,true,true,false,false
CrossFingers,127.464794648921,29.98387649668898,135.1405561065617,12.993099281154624,true,true,true,false,false
CrossFingers,130.70370965789135,29.3755283302542,134.30157692756367,12.277310136330199,true,true,true,false,false
CrossFingers,162.46301892022265,50.19322248337246,87.13555468415264,20.099282522568057,true,true,false,false,false
CrossFingers,141.52891475803696,33.61146655864454,133.90596027972572,15.405793411166522,true,true,true,false,false
CrossFingers,152.21284409739548,15.908040115172094,109.88096761221185,24.90796799013886,true,true,true,false,false
CrossFingers,136.91526776525203,37.300361801951766,131.89315614838435,19.0795063172356,true,true,true,false,false
CrossFingers,140.89324884715936,38.22059017378153,136.22458066112674,18.95115541774085,true,true,true,false,false
CrossFingers,140.4067491269693,39.04633062938453,136.37597856303802,19.364464387155035,true,true,true,false,false
CrossFingers,140.05573619728,38.647747340805495,132.8117932154401,18.2861385617995,true,true,true,false,false
CrossFingers,138.48562150711643,37.79778583668723,137.66043534312996,19.243488229706145,true,true,true,false,false
CrossFingers,142.41702437003534,37.88865852743664,135.4120284797899,18.978604017900135,true,true,true,false,false
CrossFingers,139.71302049582286,36.30002907956898,134.38989864879187,17.48755496303259,true,true,true,false,false
CrossFingers,138.88837684002317,34.7134754961503,132.60543634411638,18.371685913394337,true,true,true,false,false
CrossFingers,143.93109092430402,33.294065475625,128.07836104873616,20.06501081804969,true,true,true,false,false
CrossFingers,140.061725964636,34.79094855718708,129.2020404605642,16.116238945924728,true,true,true,false,false
CrossFingers,141.7372118868365,33.89462259395921,127.45362889016788,19.31428329318644,true,true,true,false,false
CrossFingers,137.66124413951337,34.48193977378944,129.34426212589898,18.07111819740632,true,true,true,false,false
CrossFingers,149.04988449138685,31.992463266962087,137.10219020162305,15.428577923948083,true,true,true,false,false
CrossFingers,150.12970040384158,32.13472716105552,127.3362173230462,15.435478901996095,true,true,true,false,false
CrossFingers,145.89624220644916,34.43185060669008,124.38603855432581,15.995493092103027,true,true,true,false,false
CrossFingers,146.30221691054788,34.44757291157222,128.6617234864991,16.430739804816486,true,true,true,false,false
CrossFingers,147.74427712956694,34.419502772558666,137.8288646009938,16.535283592503447,true,true,true,false,false
CrossFingers,137.95374411453062,33.3435500377111,137.47918961578992,16.951579904064662,true,true,true,false,false
CrossFingers,138.453023745288,37.450743424088486,139.26506804828375,15.786253529720266,true,true,true,false,false
CrossFingers,140.0057178469922,36.30935046072871,132.46237703966952,16.769500061880066,true,true,true,false,false
CrossFingers,140.34214789434265,35.81995140974857,135.08089177599325,15.874329352051674,true,true,true,false,false
CrossFingers,138.2591101609377,35.54512440509337,136.74096672649915,15.65502749031146,true,true,true,false,false
CrossFingers,135.15972195278485,37.47049197755488,136.47470217689437,18.207671955571875,true,true,true,false,false
CrossFingers,132.51065361651874,35.06420688532474,135.1337409494767,18.28318634748594,true,true,true,false,false
CrossFingers,131.95411279478859,33.792868153308106,121.88469629511901,15.560370642157855,true,true,true,false,false
CrossFingers,135.71241429270063,31.078849416286623,123.83240879689323,16.50404650806208,true,true,true,false,false
CrossFingers,136.13705413962566,31.226146096876352,129.9853384736176,15.494318427875331,true,true,true,false,false
CrossFingers,135.89325401787153,32.280359711197136,124.47323144480308,14.66857057719045,true,true,true,false,false
CrossFingers,136.36748740701938,30.212352793252602,125.80218337899348,13.736262878109446,true,true,true,false,false
CrossFingers,134.29123881098485,32.154288229388506,128.6104020797951,12.894494740581672,true,true,true,false,false
CrossFingers,135.88952660630864,26.721374538857773,128.47821000765825,16.002542446098886,true,true,true,false,false
CrossFingers,138.41856738235174,31.975673421731408,132.01047919895774,14.190326578997865,true,true,true,false,false
CrossFingers,132.79901433545143,32.502512171533866,125.02751304867357,14.824065649940183,true,true,true,false,false
CrossFingers,132.74171982177012,33.905880371687644,129.3723308887149,15.252275357099311,true,true,true,false,false
CrossFingers,137.57927065148817,29.297604335596798,121.70342825686042,15.675171135126995,true,true,true,false,false
CrossFingers,125.13729711817983,30.412978297640702,125.07737247135995,17.679754336990715,true,true,true,false,false
CrossFingers,128.81737116833207,31.90523847304861,127.67251877786585,18.293512584273092,true,true,true,false,false
CrossFingers,124.30785352595139,31.42351052657448,120.98599077336327,13.718872550509367,true,true,true,false,false
CrossFingers,121.64992265963524,34.02799514936319,127.83061303761093,20.6214590885104,true,true,true,false,false
CrossFingers,126.21927455376697,30.79112297303084,123.6190194177351,12.798406051704776,true,true,true,false,false
CrossFingers,124.67790866044793,31.01062415441507,124.28666236862483,17.27491344137496,true,true,true,false,false
